0,1,2,3,4,5,6,7,8,9,10,11,12
+9.63,+3.83,+2.91,+2.38,+2.05,+1.62,+1.45,+1.34,+1.15,+1.27,+1.19,+1.10,+0.99
+3.07,+7.92,+2.21,+1.87,+1.66,+1.28,+1.04,+0.94,+0.80,+0.70,+0.64,+0.57,+0.52
+2.07,+1.41,+6.40,+1.65,+1.48,+1.15,+0.87,+0.62,+0.52,+0.45,+0.40,+0.35,+0.32
+1.52,+1.06,+0.91,+5.10,+1.44,+1.12,+0.87,+0.58,+0.34,+0.30,+0.27,+0.26,+0.24
+1.18,+0.86,+0.74,+0.73,+4.10,+1.14,+0.94,+0.66,+0.38,+0.25,+0.24,+0.22,+0.20
+0.77,+0.50,+0.43,+0.43,+0.46,+3.27,+0.98,+0.76,+0.49,+0.24,+0.18,+0.16,+0.14
+0.60,+0.37,+0.29,+0.29,+0.32,+0.35,+2.65,+0.86,+0.64,+0.37,+0.20,+0.10,+0.09
+0.51,+0.31,+0.17,+0.16,+0.21,+0.23,+0.26,+2.15,+0.75,+0.51,+0.27,+0.13,+0.04
+0.42,+0.23,+0.11,+0.05,+0.09,+0.11,+0.15,+0.19,+1.80,+0.66,+0.43,+0.18,+0.07
+0.43,+0.18,+0.07,+0.02,0.00,0.00,+0.04,+0.09,+0.13,+1.49,+0.59,+0.36,+0.13
+0.38,+0.14,+0.04,0.00,0.00,0.00,0.00,0.00,+0.03,+0.08,+1.25,+0.30,+0.12
+0.34,+0.10,+0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,+1.06,+0.08
+0.28,+0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,+0.90
