A,K,Q,J,T,9,8,7,6,5,4,3,2
9.13,3.33,2.41,1.88,1.5499999999999998,1.12,0.95,0.8400000000000001,0.6499999999999999,0.77,0.69,0.6000000000000001,0.49
2.57,7.42,1.71,1.37,1.16,0.78,0.54,0.43999999999999995,0.30000000000000004,0.19999999999999996,0.14,0.06999999999999995,0.020000000000000018
1.5699999999999998,0.9099999999999999,5.9,1.15,0.98,0.6499999999999999,0.37,0.12,0.020000000000000018,-0.04999999999999999,-0.09999999999999998,-0.15000000000000002,-0.18
1.02,0.56,0.41000000000000003,4.6,0.94,0.6200000000000001,0.37,0.07999999999999996,-0.15999999999999998,-0.2,-0.22999999999999998,-0.24,-0.26
0.6799999999999999,0.36,0.24,0.22999999999999998,3.5999999999999996,0.6399999999999999,0.43999999999999995,0.16000000000000003,-0.12,-0.25,-0.26,-0.28,-0.3
0.27,0.0,-0.07,-0.07,-0.03999999999999998,2.77,0.48,0.26,-0.010000000000000009,-0.26,-0.32,-0.33999999999999997,-0.36
0.09999999999999998,-0.13,-0.21000000000000002,-0.21000000000000002,-0.18,-0.15000000000000002,2.15,0.36,0.14,-0.13,-0.3,-0.4,-0.41000000000000003
0.010000000000000009,-0.19,-0.32999999999999996,-0.33999999999999997,-0.29000000000000004,-0.27,-0.24,1.65,0.25,0.010000000000000009,-0.22999999999999998,-0.37,-0.46
-0.08000000000000002,-0.27,-0.39,-0.45,-0.41000000000000003,-0.39,-0.35,-0.31,1.3,0.16000000000000003,-0.07,-0.32,-0.43
-0.07,-0.32,-0.43,-0.48,-0.5,-0.5,-0.46,-0.41000000000000003,-0.37,0.99,0.08999999999999997,-0.14,-0.37
-0.12,-0.36,-0.46,-0.5,-0.5,-0.5,-0.5,-0.5,-0.47,-0.42,0.75,-0.2,-0.38
-0.15999999999999998,-0.4,-0.49,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.56,-0.42
-0.21999999999999997,-0.43,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.4
