A,K,Q,J,T,9,8,7,6,5,4,3,2
5.22,2.24,2.1,2.06,2.04,1.62,1.45,1.34,1.15,1.27,1.19,1.1,0.99
1.7,4.55,2.09,1.87,1.66,1.28,1.04,0.94,0.8,0.7,0.64,0.57,0.52
1.55,1.41,3.92,1.65,1.48,1.15,0.87,0.62,0.52,0.45,0.4,0.35,0.32
1.52,1.06,0.91,3.4,1.44,1.12,0.87,0.58,0.34,0.3,0.27,0.26,0.24
1.18,0.86,0.74,0.73,3.08,1.14,0.94,0.66,0.38,0.25,0.24,0.22,0.2
0.77,0.5,0.43,0.43,0.46,2.82,0.98,0.76,0.49,0.24,0.18,0.16,0.14
0.6,0.37,0.29,0.29,0.32,0.35,2.58,0.86,0.64,0.37,0.2,0.1,0.09
0.51,0.31,0.17,0.16,0.21,0.23,0.26,2.15,0.75,0.51,0.27,0.13,0.04
0.42,0.23,0.11,0.05,0.09,0.11,0.15,0.19,1.8,0.66,0.43,0.18,0.07
0.43,0.18,0.07,0.02,0.0,0.0,0.04,0.09,0.13,1.49,0.59,0.36,0.13
0.38,0.14,0.04,0.0,0.0,-0.05,-0.03,0.0,0.03,0.08,1.25,0.3,0.12
0.34,0.1,0.01,-0.0,-0.02,-0.07,-0.11,-0.09,-0.04,-0.0,-0.01,1.06,0.08
0.28,0.07,0.0,-0.02,-0.04,-0.09,-0.12,-0.17,-0.15,-0.08,-0.09,-0.13,0.9
